,training set,tests,correct,incorrect,false positives,false negatives,correctness
0,82,8042,7898,144,96,48,98.20940064660532
1,163,7961,7913,48,48,0,99.39706067077
2,244,7880,7832,48,48,0,99.39086294416244
3,325,7799,7751,48,48,0,99.38453647903577
4,407,7717,7669,48,48,0,99.37799663081509
5,488,7636,7588,48,48,0,99.37139863803039
6,569,7555,7507,48,48,0,99.36465916611516
7,650,7474,7426,48,48,0,99.35777361519936
8,732,7392,7344,48,48,0,99.35064935064935
9,813,7311,7287,24,24,0,99.6717275338531
10,894,7230,7206,24,24,0,99.66804979253112
11,975,7149,7125,24,24,0,99.66428871170793
12,1057,7067,7059,8,8,0,99.88679779255696
13,1138,6986,6978,8,8,0,99.88548525622674
14,1219,6905,6889,16,12,4,99.76828385228096
15,1300,6824,6808,16,12,4,99.76553341148886
16,1382,6742,6734,8,8,0,99.88134084841293
17,1463,6661,6653,8,8,0,99.87989791322624
18,1544,6580,6572,8,8,0,99.87841945288754
19,1625,6499,6491,8,8,0,99.87690413909833
20,1707,6417,6409,8,8,0,99.87533115162849
21,1788,6336,6324,12,12,0,99.81060606060606
22,1869,6255,6243,12,12,0,99.80815347721823
23,1950,6174,6162,12,12,0,99.80563654033041
24,2032,6092,6080,12,12,0,99.80302035456336
25,2113,6011,5999,12,12,0,99.8003659956746
26,2194,5930,5918,12,12,0,99.79763912310287
27,2275,5849,5837,12,12,0,99.79483672422636
28,2356,5768,5756,12,12,0,99.79195561719834
29,2438,5686,5674,12,12,0,99.78895532887795
30,2519,5605,5593,12,12,0,99.78590544157002
31,2600,5524,5512,12,12,0,99.7827661115134
32,2681,5443,5443,0,0,0,100.0
33,2763,5361,5361,0,0,0,100.0
34,2844,5280,5280,0,0,0,100.0
35,2925,5199,5199,0,0,0,100.0
36,3006,5118,5118,0,0,0,100.0
37,3088,5036,5036,0,0,0,100.0
38,3169,4955,4955,0,0,0,100.0
39,3250,4874,4874,0,0,0,100.0
40,3331,4793,4793,0,0,0,100.0
41,3413,4711,4711,0,0,0,100.0
42,3494,4630,4630,0,0,0,100.0
43,3575,4549,4549,0,0,0,100.0
44,3656,4468,4468,0,0,0,100.0
45,3738,4386,4386,0,0,0,100.0
46,3819,4305,4305,0,0,0,100.0
47,3900,4224,4224,0,0,0,100.0
48,3981,4143,4143,0,0,0,100.0
49,4063,4061,4061,0,0,0,100.0
50,4144,3980,3980,0,0,0,100.0
51,4225,3899,3899,0,0,0,100.0
52,4306,3818,3818,0,0,0,100.0
53,4387,3737,3737,0,0,0,100.0
54,4469,3655,3655,0,0,0,100.0
55,4550,3574,3574,0,0,0,100.0
56,4631,3493,3493,0,0,0,100.0
57,4712,3412,3412,0,0,0,100.0
58,4794,3330,3330,0,0,0,100.0
59,4875,3249,3249,0,0,0,100.0
60,4956,3168,3168,0,0,0,100.0
61,5037,3087,3087,0,0,0,100.0
62,5119,3005,3005,0,0,0,100.0
63,5200,2924,2924,0,0,0,100.0
64,5281,2843,2843,0,0,0,100.0
65,5362,2762,2762,0,0,0,100.0
66,5444,2680,2680,0,0,0,100.0
67,5525,2599,2599,0,0,0,100.0
68,5606,2518,2518,0,0,0,100.0
69,5687,2437,2437,0,0,0,100.0
70,5769,2355,2355,0,0,0,100.0
71,5850,2274,2274,0,0,0,100.0
72,5931,2193,2193,0,0,0,100.0
73,6012,2112,2112,0,0,0,100.0
74,6094,2030,2030,0,0,0,100.0
75,6175,1949,1949,0,0,0,100.0
76,6256,1868,1868,0,0,0,100.0
77,6337,1787,1787,0,0,0,100.0
78,6418,1706,1706,0,0,0,100.0
79,6500,1624,1624,0,0,0,100.0
80,6581,1543,1543,0,0,0,100.0
81,6662,1462,1462,0,0,0,100.0
82,6743,1381,1381,0,0,0,100.0
83,6825,1299,1299,0,0,0,100.0
84,6906,1218,1218,0,0,0,100.0
85,6987,1137,1137,0,0,0,100.0
86,7068,1056,1056,0,0,0,100.0
87,7150,974,974,0,0,0,100.0
88,7231,893,893,0,0,0,100.0
89,7312,812,812,0,0,0,100.0
